"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16","28,540.0","27,500.0","28,960.0","27,080.0","12.42M","2.15%"
"Sep 16","27,940.0","29,200.0","30,200.0","27,060.0","15.92M","-3.99%"
"Aug 16","29,100.0","25,900.0","29,160.0","25,820.0","29.38M","10.65%"
"Jul 16","26,300.0","25,360.0","26,300.0","25,200.0","7.52M","3.22%"
"Jun 16","25,480.0","25,200.0","26,260.0","24,900.0","11.95M","0.79%"
"May 16","25,280.0","27,500.0","27,500.0","25,220.0","14.34M","-6.65%"
"Apr 16","27,080.0","25,600.0","28,700.0","25,520.0","17.08M","4.64%"
"Mar 16","25,880.0","24,740.0","26,980.0","24,500.0","20.48M","4.61%"
"Feb 16","24,740.0","23,680.0","25,200.0","23,600.0","15.67M","3.17%"
"Jan 16","23,980.0","21,520.0","24,000.0","20,460.0","12.30M","11.02%"
"Dec 15","21,600.0","22,480.0","23,000.0","20,080.0","11.40M","-3.57%"
"Nov 15","22,400.0","25,100.0","25,480.0","21,880.0","19.82M","-10.83%"
"Oct 15","25,120.0","25,000.0","28,100.0","24,420.0","17.01M","0.64%"
"Sep 15","24,960.0","25,800.0","26,600.0","23,620.0","13.50M","-5.38%"
"Aug 15","26,380.0","27,540.0","28,060.0","23,340.0","12.52M","-4.63%"
"Jul 15","27,660.0","28,020.0","28,400.0","26,540.0","9.35M","-0.86%"
"Jun 15","27,900.0","25,900.0","28,100.0","25,400.0","9.36M","7.72%"
"May 15","25,900.0","26,900.0","28,140.0","25,640.0","10.17M","-0.61%"
"Apr 15","26,060.0","25,560.0","27,800.0","25,560.0","12.42M","2.60%"
"Mar 15","25,400.0","25,700.0","26,220.0","23,740.0","15.57M","-1.55%"
"Feb 15","25,800.0","28,800.0","28,880.0","25,760.0","12.34M","-10.66%"
"Jan 15","28,880.0","28,380.0","28,880.0","26,680.0","16.15M","0.84%"
"Dec 14","28,640.0","28,540.0","29,600.0","26,020.0","11.13M","0.00%"
"Nov 14","28,640.0","28,600.0","30,400.0","28,480.0","12.04M","-0.97%"
"Oct 14","28,920.0","28,880.0","29,700.0","27,840.0","14.38M","0.91%"
"Sep 14","28,660.0","30,300.0","31,080.0","28,400.0","12.65M","-5.72%"
"Aug 14","30,400.0","28,720.0","31,300.0","28,720.0","10.94M","4.83%"
"Jul 14","29,000.0","27,500.0","30,020.0","27,100.0","14.41M","5.45%"
"Jun 14","27,500.0","26,800.0","28,100.0","26,520.0","11.87M","3.70%"
"May 14","26,520.0","27,400.0","27,640.0","25,540.0","16.26M","-3.21%"
"Apr 14","27,400.0","27,440.0","27,800.0","26,140.0","24.60M","-0.15%"
"Mar 14","27,440.0","24,220.0","27,440.0","24,220.0","33.52M","7.78%"
"Feb 14","25,460.0","22,120.0","25,800.0","22,000.0","19.97M","14.58%"
"Jan 14","22,220.0","23,400.0","24,220.0","22,000.0","5.10M","-5.20%"
"Dec 13","23,440.0","24,460.0","25,000.0","23,380.0","7.32M","-5.33%"
"Nov 13","24,760.0","26,700.0","26,840.0","24,000.0","8.54M","-6.57%"
"Oct 13","26,500.0","27,320.0","27,580.0","26,440.0","10.49M","-3.36%"
"Sep 13","27,420.0","26,900.0","27,760.0","26,540.0","12.71M","2.01%"
"Aug 13","26,880.0","27,560.0","28,360.0","26,840.0","9.09M","-1.18%"
"Jul 13","27,200.0","26,680.0","27,800.0","25,100.0","14.09M","0.74%"
"Jun 13","27,000.0","28,300.0","28,360.0","26,000.0","8.32M","-3.57%"
"May 13","28,000.0","30,800.0","31,200.0","27,920.0","11.15M","-6.35%"
"Apr 13","29,900.0","28,800.0","30,960.0","28,380.0","6.87M","3.10%"
"Mar 13","29,000.0","29,320.0","29,560.0","28,300.0","5.06M","-2.68%"
"Feb 13","29,800.0","31,000.0","31,460.0","29,400.0","7.75M","-4.43%"
"Jan 13","31,180.0","29,620.0","31,200.0","29,580.0","5.65M","4.56%"
"Dec 12","29,820.0","28,760.0","29,980.0","28,760.0","8.41M","3.90%"
"Nov 12","28,700.0","29,200.0","29,300.0","27,620.0","8.44M","-1.78%"
"Oct 12","29,220.0","27,000.0","29,240.0","26,640.0","16.54M","9.60%"
"Sep 12","26,660.0","26,660.0","27,600.0","25,740.0","11.40M","1.29%"
"Aug 12","26,320.0","27,780.0","27,780.0","24,220.0","26.55M","-5.53%"
"Jul 12","27,860.0","27,900.0","28,660.0","27,060.0","10.14M","0.22%"
"Jun 12","27,800.0","27,100.0","28,000.0","26,520.0","11.59M","1.09%"
"May 12","27,500.0","29,900.0","30,600.0","27,000.0","13.95M","-8.03%"
"Apr 12","29,900.0","28,780.0","29,900.0","28,700.0","8.42M","4.55%"
